"Lego Part","Lego Set"
"Slope - Green - Plastic - Roofing","LEGO Elves"
"Brick - Brown - Plastic - Landscape","Speed Champions"
"Panel - Transparent - Plastic - Decorative","LEGO Technic"
"Animal - Tan - Fabric - Barrier","LEGO Friends"
"Technic - Orange - Plastic - Character","LEGO Ideas"
"Weapon - Gold - Fabric - Accessory","Ideas"
"Roof Tile - Gray - Fabric - Decorative","LEGO Super Mario"
"Fence - Yellow - Fabric - Basic","LEGO Monkie Kid"
"Wheel - Transparent - Fabric - Transportation","Ninjago"
"Tile - Brown - Fabric - Combat","LEGO Classic"
"Minifigure - Translucent - Fabric - Character","LEGO Star Wars Millennium Falcon"
"Minifigure - White - Fabric - Decoration","Creator"
"Tool - Black - Fabric - Vehicle","Architecture"
"Axle - Green - Plastic - Roofing","Creator"
"Slope - Gold - Plastic - Utility","Jurassic World"
"Window - Transparent - Fabric - Decoration","LEGO Star Wars Millennium Falcon"
"Plate - Silver - Plastic - Character","LEGO Ideas 21319 Central Perk"
"Door - Green - Fabric - Functional","LEGO City"
"Axle - Bronze - Fabric - Decorative","Ideas"
"Plate - Translucent - Fabric - Utility","LEGO Monkie Kid"
"Axle - Bronze - Fabric - Structural","LEGO Video Games"
"Roof Tile - Gray - Plastic - Basic","LEGO Monkie Kid"
"Panel - Gold - Fabric - Building","Creator"
"Slope - Green - Fabric - Character","LEGO Disney"
"Beam - Gold - Fabric - Building","Dots"
"Slope - Black - Plastic - Transportation","DC Super Heroes"
"Animal - Blue - Plastic - Structural","LEGO Jurassic World"
"Tool - Gold - Fabric - Transportation","Education"
"Axle - Yellow - Plastic - Mechanical","Friends"
"Minifigure - Green - Fabric - Building","LEGO Minions"
"Tool - Green - Fabric - Decorative","LEGO Disney Princess"
"Slope - Black - Plastic - Landscape","LEGO Jurassic World"
"Weapon - Silver - Fabric - Wall","LEGO Marvel Super Heroes"
"Fence - Gray - Fabric - Decorative","LEGO Disney Princess"
"Brick - Green - Fabric - Character","LEGO Technic"
"Plant - White - Fabric - Character","LEGO Mindstorms"
"Technic - Black - Plastic - Utility","LEGO Technic"
"Brick - Gray - Fabric - Creature","LEGO Elves"
"Wheel - Black - Fabric - Structural","LEGO Marvel Super Heroes"
"Animal - Blue - Plastic - Roofing","LEGO Ideas"
"Vehicle - Transparent - Plastic - Basic","Marvel Super Heroes"
"Axle - Blue - Fabric - Building","Disney"
"Axle - Transparent - Plastic - Structural","Bionicle"
"Axle - Transparent - Plastic - Accessory","LEGO Classic"
